productName,productCode,quantityInStock,totalQuantitySold
"F/A 18 Hornet 1/72",S700_3167,551,1047
"1960 BSA Gold Star DBD34",S24_2000,15,1015
"1997 BMW F650 ST",S32_1374,178,1014
"2002 Yamaha YZR M1",S50_4713,600,992
"1996 Peterbilt 379 Stake Bed with Outrigger",S32_3522,814,988
"1928 Ford Phaeton Deluxe",S32_4289,136,972
"Pont Yacht",S72_3212,414,958
"1968 Ford Mustang",S12_1099,68,933
"The Mayflower",S700_1938,737,898
"1928 Mercedes-Benz SSK",S18_2795,548,880
"1911 Ford Town Car",S18_2248,540,832
