productName,productCode,quantityInStock,totalQuantitySold
"1992 Ferrari 360 Spider red",S18_3232,8347,1808
"1937 Lincoln Berline",S18_1342,8693,1111
"American Airlines: MD-11S",S700_4002,8820,1085
"1941 Chevrolet Special Deluxe Cabriolet",S18_3856,2378,1076
"1930 Buick Marquette Phaeton",S50_1341,7062,1074
"1940s Ford truck",S18_4600,3128,1061
"1969 Harley Davidson Ultimate Chopper",S10_1678,7933,1057
"1957 Chevy Pickup",S12_4473,6125,1056
"1964 Mercedes Tour Bus",S18_2319,8258,1053
"1956 Porsche 356A Coupe",S24_3856,6600,1052
"Corsair F4U ( Bird Cage)",S24_3949,6812,1051
"F/A 18 Hornet 1/72",S700_3167,551,1047
"1980s Black Hawk Helicopter",S18_1662,5330,1040
"1913 Ford Model T Speedster",S18_2949,4189,1038
"1997 BMW R 1100 S",S24_1578,7003,1033
"1972 Alfa Romeo GTA",S10_4757,3252,1030
"1962 Volkswagen Microbus",S24_2300,2327,1029
"2002 Suzuki XREO",S12_2823,9997,1028
"The USS Constitution Ship",S700_2610,7083,1020
"2001 Ferrari Enzo",S12_1108,3619,1019
"1960 BSA Gold Star DBD34",S24_2000,15,1015
"1997 BMW F650 ST",S32_1374,178,1014
"1957 Corvette Convertible",S18_4721,1249,1013
"18th century schooner",S24_2011,1898,1011
"1900s Vintage Tri-Plane",S24_4278,2756,1009
"1996 Moto Guzzi 1100i",S10_2016,6625,999
"1940 Ford Pickup Truck",S18_1097,2613,999
"1926 Ford Fire Engine",S18_2432,2018,998
"1982 Camaro Z28",S700_2824,6934,997
"1939 Cadillac Limousine",S18_4668,6645,995
"1969 Dodge Charger",S12_4675,7323,992
"1917 Maxwell Touring Car",S18_3320,7913,992
"2002 Yamaha YZR M1",S50_4713,600,992
"1912 Ford Model T Delivery Wagon",S24_3151,9173,991
"1904 Buick Runabout",S18_4522,8290,990
"1996 Peterbilt 379 Stake Bed with Outrigger",S32_3522,814,988
"1998 Chrysler Plymouth Prowler",S18_2238,4724,986
"2003 Harley-Davidson Eagle Drag Bike",S10_4698,5582,985
"1934 Ford V8 Coupe",S18_2957,5649,985
"America West Airlines B757-200",S700_2466,9653,984
"1958 Chevy Corvette Limited Edition",S24_2840,2542,983
"1936 Chrysler Airflow",S24_4258,4710,983
"Diamond T620 Semi-Skirted Tanker",S50_1392,1016,979
"1970 Dodge Coronet",S24_1444,4074,976
"1969 Dodge Super Bee",S18_3278,1917,974
"ATA: B757-300",S700_2834,7106,973
"1958 Setra Bus",S12_1666,1579,972
"1948 Porsche 356-A Roadster",S18_1889,8826,972
"1928 British Royal Navy Airplane",S24_1785,3627,972
"1928 Ford Phaeton Deluxe",S32_4289,136,972
"1971 Alpine Renault 1600s",S24_3371,7995,969
"1999 Yamaha Speed Boat",S18_3029,4259,966
"1962 City of Detroit Streetcar",S50_1514,1645,966
"1969 Ford Falcon",S12_3891,1049,965
"1969 Corvair Monza",S12_3148,6906,963
"1952 Alpine Renault 1300",S10_1949,7305,961
"1936 Mercedes-Benz 500K Special Roadster",S18_1367,8635,960
"Boeing X-32A JSF",S72_1253,4857,960
"1957 Vespa GS150",S18_3782,7689,959
"Pont Yacht",S72_3212,414,958
"1932 Model A Ford J-Coupe",S18_2325,9354,957
"1938 Cadillac V-16 Presidential Limousine",S24_2022,2847,955
"1954 Greyhound Scenicruiser",S32_2509,2874,955
"The Titanic",S700_3505,1956,952
"1949 Jaguar XK 120",S24_2766,2350,949
"1948 Porsche Type 356 Roadster",S18_3685,8990,948
"1993 Mazda RX-7",S18_1129,3975,947
"1982 Ducati 900 Monster",S24_2360,6840,947
"1936 Harley Davidson El Knucklehead",S18_2625,4357,945
"1970 Triumph Spitfire",S18_4027,5545,945
"1961 Chevrolet Impala",S24_4620,7869,941
"1900s Vintage Bi-Plane",S24_2841,5942,940
"1939 Chevrolet Deluxe Coupe",S24_1937,7332,937
"1950's Chicago Surface Lines Streetcar",S32_3207,8601,934
"The Schooner Bluenose",S700_1138,1897,934
"1968 Ford Mustang",S12_1099,68,933
"1962 LanciaA Delta 16V",S10_4962,6791,932
"1968 Dodge Charger",S12_3380,9123,925
"1940 Ford Delivery Sedan",S24_3816,6621,923
"1917 Grand Touring Sedan",S18_1749,2724,918
"Collectable Wooden Train",S18_3259,6450,918
"1995 Honda Civic",S18_1984,9772,917
"P-51-D Mustang",S18_2581,992,917
"1976 Ford Gran Torino",S18_3482,9127,915
"1966 Shelby Cobra 427 S/C",S24_1628,8197,915
"1965 Aston Martin DB5",S18_1589,9042,914
"1982 Lamborghini Diablo",S24_2972,7723,912
"1980’s GM Manhattan Express",S32_1268,5099,911
"18th Century Vintage Horse Carriage",S18_3136,5992,907
"1982 Ducati 996 R",S32_2206,9241,906
"1970 Plymouth Hemi Cuda",S12_3990,5663,900
"1974 Ducati 350 Mk3 Desmo",S32_4485,3341,898
"The Mayflower",S700_1938,737,898
"HMS Bounty",S700_2047,3501,897
"The Queen Mary",S700_3962,5088,896
"2002 Chevy Corvette",S24_3432,9446,894
"American Airlines: B767-300",S700_1691,5841,894
"1937 Horch 930V Limousine",S24_3420,2902,884
"1903 Ford Model A",S18_3140,3913,883
"1928 Mercedes-Benz SSK",S18_2795,548,880
"1952 Citroen-15CV",S24_2887,1452,873
"1969 Chevrolet Camaro Z28",S24_3191,4695,870
"1992 Porsche Cayenne Turbo Silver",S24_4048,6582,867
"1932 Alfa Romeo 8C2300 Spider Sport",S18_4409,6553,866
"1999 Indy 500 Monte Carlo SS",S18_2870,8164,855
"1911 Ford Town Car",S18_2248,540,832
"1936 Mercedes Benz 500k Roadster",S24_3969,2081,824
"1970 Chevy Chevelle SS 454",S24_1046,1005,803
"1957 Ford Thunderbird",S18_4933,3209,767
"1985 Toyota Supra",S18_3233,7733,0
